Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent,Epic ID,Epic Title
Einfügen eines neuen Jobeintrags in die Datenbank,"Als Entwickler möchte ich eine Funktion im Backend implementieren, die es ermöglicht, einen neuen Jobeintrag in die Datenbank einzufügen. Dadurch können die Ergebnisse einer API-Anfrage an OpenAI direkt in der Datenbank gespeichert und für weitere Verarbeitungsschritte genutzt werden.

Akzeptanzkriterien:
- es existiert eine Funktion, welche die relevanten Werte des Webcrawlers in die Datenbank schreibt
- ~~es wird validiert, dass keine fehlerhaften Daten in die Datenbank geschrieben werden.~~
- Es gibt eine Möglichkeit, falls es sich um eine Aktualisierung handelt die Daten in der Datenbank zu Updaten

EDIT: der Punkt, dass die Daten validiert werden, wurde hier rausgenommen und durch #94 erledigt.
### Testfälle
- [x] Nimmt Antwort und speichert sie in die Datenbank (Der hinzugefügte Eintrag in der Datenbank entspricht, der übergebenden Antwort)
- [x] Es handelt sich um eine Aktualisierung und ein Datensatz soll upgedatet werden.",95,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/95,Closed,Max Mager,max.mager,Ilyass Essar Rhini,ilyass.essar_rhini,No,No,,2024-05-19 09:04:17,2024-06-27 19:47:27,2024-06-27 19:47:27,Abgabe 3,8,"Team::BackEnd,User Story",0,42000,,
Aktualisierung von Stellenanzeigen,"Als Nutzer möchte ich immer die aktuellsten Stellen zu sehen bekommen, damit ich mich für die richtige Stelle entscheiden kann.

Akzeptanzkriterien:
- Wenn festgestellt wurde das eine Stelle eine Änderung hatte soll diese erneut durch die OpenAI Schnittstelle aktualisiert werden.
- nach der Aktualisierung soll kein neuer Eintrag in die Datenbank entstehen, sondern der bestehende Eintrag aktualisiert werden.
- Es gibt Testfälle für die Funktionalitäten

### Testfälle (nur von QA abhacken)
- [ ] Stellen auf Testwebsite extrahieren (#279 )
- [ ] Anpassen der Testwebsite, sodass eine stelle sich verändert hat.
- [ ] Webscrapper erkennt die Seite und aktualisiert diese, die anderen werden nicht geändert.",98,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/98,Closed,Max Mager,max.mager,"Thorben Dirk Stehling, Robert Hobelsberger","thorben_dirk.stehling, robert.hobelsberger",No,No,,2024-05-19 09:14:18,2024-07-11 17:08:52,2024-07-11 17:08:52,Abgabe 3,8,"Team::BackEnd,User Story",0,138600,,
Feature: Jobs Anzeigen lassen.,"Als Nutzer möchte ich mir Jobs anzeigen lassen und im Detail ansehen, damit ich eine Stelle für mich suchen kann und mehr über sie erfahren kann.

Als LSN Geschäftsführer möchte ich, dass die Seite in dem Design des LSN ist, damit es einheitlich auf unserer Seite erscheint.",111,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/111,Closed,Max Mager,max.mager,"","",No,No,,2024-05-21 11:52:43,2024-07-19 15:33:12,2024-07-19 15:33:12,Abgabe 3,,Feature,0,21600,,
Feature: Filtern von Ergebnissen,"Als Nutzer möchte ich für mich relevante Stellen finden, indem ich meine Suche einschränke, damit ich schneller Stellen finden kann.",112,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/112,Closed,Max Mager,max.mager,"","",No,No,,2024-05-21 12:53:13,2024-07-19 15:33:09,2024-07-19 15:33:09,Abgabe 3,,Feature,0,3600,,
Feature: Datenbeschaffung,"Als Organisation möchte ich, dass meine Stelle ohne großen aufwand von meiner Seite, auf der DCNM-Stellenbörse aufgenommen wird, damit meine Stelle sichtbarer wird.",113,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/113,Closed,Max Mager,max.mager,"","",No,No,,2024-05-21 12:53:30,2024-07-19 15:33:06,2024-07-19 15:33:06,Abgabe 3,,Feature,0,21600,,
API Methode zur Validierung und Speicherung,,156,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/work_items/156,Closed,Vladislav Antonov,vladislav.antonov,"","",No,No,,2024-05-21 16:41:50,2024-07-11 17:23:37,2024-07-11 17:23:37,Abgabe 3,,,0,0,,
Methode zur Bearbeitung eines bestehenden Eintrags,,157,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/work_items/157,Closed,Vladislav Antonov,vladislav.antonov,"","",No,No,,2024-05-21 16:43:06,2024-07-11 17:23:44,2024-07-11 17:23:44,Abgabe 3,,,0,0,,
Test Pipeline,"## User Story

### Beschreibung:  
**Als** Team

**möchte ich** eine Test Pipeline haben

**um** Für Alle komponenten Tests durchzuführen und einen MR zu blockierern, wenn tests fehlschlagen.

### Akzeptanzkriterien

1. Es gibt eine Test Stage die auf MRs reagiert
2. Führt alle Tests des Repos aus
3. Bei fehlgeschlagenen Tests, blockiert die Pipeline einen MR",163,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/163,Closed,Vladislav Antonov,vladislav.antonov,Louis Westerheide,louis.westerheide,No,No,,2024-05-24 11:27:42,2024-07-19 08:56:02,2024-07-19 08:56:02,Abgabe 3,3,Team::DevOps,0,9000,,
Feature: Validation,"Als Organisation möchte ich, dass meine Stellen korrekt auf der DCNM Stellenbörse angezeigt werden, damit mein Ruf nicht darunter leidet.",183,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/183,Closed,Max Mager,max.mager,"","",No,No,,2024-05-29 11:05:50,2024-07-19 15:33:03,2024-07-19 15:33:03,Abgabe 3,,Feature,0,10800,,
Release Pipeline,,230,https://gitlab.dit.htwk-leipzig.de/softwareprojekt/stellenboerse/-/issues/230,Closed,Vladislav Antonov,vladislav.antonov,Louis Westerheide,louis.westerheide,No,No,,2024-05-31 11:17:52,2024-06-19 11:11:48,2024-06-19 11:11:48,Abgabe 3,8,Team::DevOps,0,86400,,
